feature,human_mean,human_sd,ai_mean,ai_sd,mean_difference_human_minus_ai,t_statistic,p_value,cohens_d,higher_group,abs_cohens_d
type_token_ratio,0.6642056573481263,0.15823556527110302,0.5223481696793681,0.08961678331154511,0.14185748766875816,125.906915827901,0.0,1.1031952522384112,human,1.1031952522384112
pos_adv_ratio,0.05865987261275985,0.03275360999585454,0.03634063299418636,0.02121956678081282,0.02231923961857349,92.30639868947752,0.0,0.8087878264340068,human,0.8087878264340068
avg_sentence_length,18.34666360839588,7.454299787848858,23.695726454059884,6.77034434667986,-5.349062845664005,-85.73576747434814,0.0,-0.7512160154411278,ai,0.7512160154411278
pos_cconj_ratio,0.034281995739200134,0.01981322997813944,0.04665748853622667,0.019348591628949884,-0.012375492797026537,-72.12673098111208,0.0,-0.631973761366707,ai,0.631973761366707
flesch_kincaid_grade,9.589075142628971,3.788431775534664,11.5675137062504,2.747900792399949,-1.9784385636214292,-68.23092212192273,0.0,-0.5978387195477123,ai,0.5978387195477123
flesch_reading_ease,60.96580653507977,16.50340272224307,51.91974785442754,14.73251156026236,9.04605868065223,65.99872357739689,0.0,0.5782802161868613,human,0.5782802161868613
passive_ratio,0.40499291680564437,0.5258563733837013,0.7082719623573315,0.7035091268125659,-0.3032790455516871,-55.73149685561517,0.0,-0.48831886895946036,ai,0.48831886895946036
discourse_marker_ratio,0.002097485565866753,0.004993630101828467,0.00449886861451878,0.005379052371163647,-0.0024013830486520273,-52.807784977413846,0.0,-0.4627013320534376,ai,0.4627013320534376
pos_pron_ratio,0.0980567331285173,0.04818170494191758,0.07933001926738939,0.03639934216707882,0.01872671386112791,50.05440313405839,0.0,0.4385762253647703,human,0.4385762253647703
pos_noun_ratio,0.21372317789214954,0.055964256193676155,0.23259456312223925,0.05148878603193146,-0.018871385230089716,-40.05307734006469,0.0,-0.35094469965013264,ai,0.35094469965013264
avg_word_length,4.527293468555323,0.4329339006837406,4.650268228032858,0.3837947781332838,-0.12297475947753522,-34.30684154172122,4.807275620024995e-255,-0.30059623380700273,ai,0.30059623380700273
sentence_count,14.666461940040689,34.986745440771045,7.7268434992898545,3.086309428169622,6.939618440750834,31.890477569219055,5.078870474523317e-219,0.27942407463992375,human,0.27942407463992375
pos_adj_ratio,0.07883538088962705,0.03593397633768896,0.08684425765214432,0.0327041217291268,-0.00800887676251727,-26.60438787092473,6.723764465136152e-155,-0.23310740474360347,ai,0.23310740474360347
unique_word_count,113.88622317761315,174.66672633476253,87.46489578135197,23.073735305075278,26.421327396261177,24.204713233076898,4.623500631904006e-128,0.21208147737509261,human,0.21208147737509261
word_count,269.4140723964531,671.93804155239,174.86038923649764,60.1926769497287,94.55368315995545,22.621730994427615,3.074732086006675e-112,0.19821140138623555,human,0.19821140138623555
pos_det_ratio,0.09494329924977939,0.03664368351437591,0.10145379607689345,0.03614650129228033,-0.006510496827114062,-20.415422699430987,2.8063713842989987e-92,-0.17887974815646807,ai,0.17887974815646807
pos_aux_ratio,0.073374845076477,0.030159595797565275,0.07695783700976014,0.024943736113050074,-0.003582991933283139,-14.776046398280213,2.6533804718092214e-49,-0.12946758425659835,ai,0.12946758425659835
pos_adp_ratio,0.1037040810686063,0.03341255053430301,0.10586351526293153,0.028510279860819318,-0.0021594341943252243,-7.935232453621314,2.1436617665737427e-15,-0.06952843464301015,ai,0.06952843464301015
pos_sconj_ratio,0.02829050900983263,0.019372060644757768,0.02704205035339548,0.017176153519128146,0.0012484586564371486,7.783102177929118,7.208388103009845e-15,0.0681954705499594,human,0.0681954705499594
discourse_marker_count,0.9970442593374534,3.843726460854379,0.8208897930981536,1.0017311651534901,0.17615446623929987,7.1578737288980605,8.384642154853883e-13,0.06271722456164332,human,0.06271722456164332
pos_verb_ratio,0.1294672873092331,0.03614094976129072,0.12750591350634893,0.03174586903533434,0.0019613738028841643,6.58102973584626,4.71690629410381e-11,0.0576629227368982,human,0.0576629227368982
lexical_density,0.4806857187037697,0.06582428043816897,0.483285367274919,0.0640698814463267,-0.0025996485711493045,-4.567858045691568,4.938616740760411e-06,-0.040023530683524766,ai,0.040023530683524766
